Richard Courant,William Feller,
Richard Courant,Leifur Ásgeirsson,
Richard Courant,Herbert Busemann,
Richard Courant,Kurt Friedrichs,
Richard Courant,Harold Grad,
Richard Courant,Fritz John,
Richard Courant,Joseph Keller,
Richard Courant,Edgar Krahn,
Richard Courant,Martin Kruskal,
Richard Courant,Anneli Lax,
Richard Courant,Hans Lewy,
Richard Courant,Otto Neugebauer,
Richard Courant,Franz Rellich,
Richard Courant,Kurt Otto Friedrichs,
Richard Courant,Joseph B. Keller,
William Feller,Patrick Billingsley,
William Feller,George Forsythe,
William Feller,Henry McKean,
William Feller,Lawrence Shepp,
William Feller,Hale Trotter,
William Feller,Benjamin Weiss,
William Feller,David A. Freedman,
George Forsythe,Richard Brent,
George Forsythe,J. Alan George,
George Forsythe,Cleve Moler,
George Forsythe,Beresford Parlett,
George Forsythe,Richard P. Brent,
George Forsythe,Beresford N. Parlett,
George Forsythe,Beresford Neill Parlett,
Henry McKean,Michael Arbib,
Henry McKean,Luigi Chierchia,
Henry McKean,Adrian Constantin,
Henry McKean,Harry Dym,
Henry McKean,Richard S. Ellis,
Henry McKean,Daniel Stroock,
Henry McKean,Eugene Trubowitz,
Henry McKean,Pierre van Moerbeke,
Benjamin Weiss,Itai Benjamini,Israeli
Benjamin Weiss,Elon Lindenstrauss,Israeli
David Hilbert,Richard Courant,German
David Hilbert,Wilhelm Ackermann,German
David Hilbert,Heinrich Behmann,German
David Hilbert,Felix Bernstein,German
David Hilbert,Otto Blumenthal,German
David Hilbert,Anne Bosworth,German
David Hilbert,Werner Boy,German
David Hilbert,Ugo Broggi,German
David Hilbert,Haskell Curry,German
David Hilbert,Max Dehn,German
David Hilbert,Rudolf Fueter,German
David Hilbert,Paul Funk,German
David Hilbert,Kurt Grelling,German
David Hilbert,Alfréd Haar,German
David Hilbert,Erich Hecke,German
David Hilbert,Earle Hedrick,German
David Hilbert,Ernst Hellinger,German
David Hilbert,Wallie Hurwitz,German
David Hilbert,Margarete Kahn,German
David Hilbert,Oliver Kellogg,German
David Hilbert,Hellmuth Kneser,German
David Hilbert,Robert König,German
David Hilbert,Emanuel Lasker,German
David Hilbert,Klara Löbenstein,German
David Hilbert,Charles Max Mason,German
David Hilbert,Erhard Schmidt,German
David Hilbert,Kurt Schütte,German
David Hilbert,Andreas Speiser,German
David Hilbert,Hugo Steinhaus,German
David Hilbert,Gabriel Sudan,German
David Hilbert,Teiji Takagi,German
David Hilbert,Hermann Weyl,German
David Hilbert,Ernst Zermelo,German
David Hilbert,Edward Kasner,German
David Hilbert,Sergei Bernstein,German
David Hilbert,Anna Wheeler,German
Kurt Friedrichs,Eugene Isaacson,German American
Kurt Friedrichs,Peter Lax,German American
Kurt Friedrichs,Cathleen Synge Morawetz,German American
Kurt Friedrichs,Leonard Sarason,German American
Kurt Friedrichs,Wolfgang R. Wasow,German American
Kurt Friedrichs,Chia-Kun Chu,German American
Kurt Friedrichs,Peter D. Lax,German American
Kurt Friedrichs,Peter David Lax,German American
Fritz John,Clifford Gardner,
Fritz John,Sergiu Klainerman,
Joseph Keller,Herbert Bishop Keller,
Joseph Keller,George C. Papanicolaou,
Joseph Keller,L. Mahadevan,
Martin Kruskal,Robert Sinclair MacKay,
Martin Kruskal,Steven Orszag,
Martin Kruskal,Nalini Joshi,
Anneli Lax,Elena Marchisotto,
Hans Lewy,David Kinderlehrer,American
Franz Rellich,Jürgen Moser,
Jacob Tamarkin,George Forsythe,Russian American
Jacob Tamarkin,Dorothy Bernstein,Russian American
Jacob Tamarkin,Nelson Dunford,Russian American
Jacob Tamarkin,Margaret Gurney,Russian American
Jacob Tamarkin,Derrick Lehmer,Russian American
Jacob Tamarkin,Rose Sedgewick,Russian American
Cleve Moler,Jack Dongarra,
Cleve Moler,Charles F. Van Loan,
Beresford Parlett,Inderjit Dhillon,
Beresford Parlett,Anne Greenbaum,
Ferdinand von Lindemann,David Hilbert,German
Ferdinand von Lindemann,Emil Hilb,German
Ferdinand von Lindemann,Martin Kutta,German
Ferdinand von Lindemann,Alfred Loewy,German
Ferdinand von Lindemann,Hermann Minkowski,German
Ferdinand von Lindemann,Oskar Perron,German
Ferdinand von Lindemann,Arthur Rosenthal,German
Ferdinand von Lindemann,Arnold Sommerfeld,German
Otto Blumenthal,Karl Gehlen,
Max Dehn,Ott-Heinrich Keller,
Max Dehn,Wilhelm Magnus,
Max Dehn,Ruth Moufang,
Rudolf Fueter,Max Gut,Swiss
Rudolf Fueter,Verena Haefeli-Huber,Swiss
Rudolf Fueter,Alexander Weinstein,Swiss
Rudolf Fueter,Walter Nef,Swiss
Alfréd Haar,Béla Szőkefalvi-Nagy,
Erich Hecke,Kurt Reidemeister,
Erich Hecke,Heinrich Behnke,
Erich Hecke,Hans Petersson,
Wallie Hurwitz,Robert Horton Cameron,
Wallie Hurwitz,Florence Marie Mears,
Oliver Kellogg,Arthur Herbert Copeland,American
Hellmuth Kneser,Reinhold Baer,Baltic German
Hellmuth Kneser,Wolfgang Walter,Baltic German
Erhard Schmidt,Salomon Bochner,
Erhard Schmidt,Alfred Brauer,
Erhard Schmidt,Richard Brauer,
Erhard Schmidt,Lothar Collatz,
Erhard Schmidt,Alexander Dinghas,
Erhard Schmidt,Michael Golomb,
Erhard Schmidt,Guido Hoheisel,
Erhard Schmidt,Eberhard Hopf,
Erhard Schmidt,Heinz Hopf,
Erhard Schmidt,Martin Kneser,
Erhard Schmidt,Wilhelm Specht,
Erhard Schmidt,Richard Dagobert Brauer,
Andreas Speiser,Johann Jakob Burckhardt,
Andreas Speiser,Verena Haefeli-Huber,
Hugo Steinhaus,Stefan Banach,Polish
Hugo Steinhaus,Z. W. (Bill) Birnbaum,Polish
Hugo Steinhaus,Mark Kac,Polish
Hugo Steinhaus,Władysław Orlicz,Polish
Hugo Steinhaus,Aleksander Rajchman,Polish
Hugo Steinhaus,Juliusz Schauder,Polish
Hugo Steinhaus,Stanisław Trybula,Polish
Teiji Takagi,Shokichi Iyanaga,Japanese
Teiji Takagi,Sigekatu Kuroda,Japanese
Teiji Takagi,Tadasi Nakayama,Japanese
Teiji Takagi,Kenjiro Shoda,Japanese
Hermann Weyl,Alexander Weinstein,
Hermann Weyl,Alfred Aeppli,
Hermann Weyl,Fritz Gassmann,
Hermann Weyl,Saunders Mac Lane,
Ernst Zermelo,Stefan Straszewicz,German
Peter Lax,Steve Alpern,American
Peter Lax,Gregory Beylkin,American
Peter Lax,Alexandre Chorin,American
Peter Lax,Charles Epstein,American
Peter Lax,Michael Ghil,American
Peter Lax,Ami Harten,American
Peter Lax,James (Mac) Hyman,American
Peter Lax,George Logemann,American
Peter Lax,Jeffrey Rauch,American
Peter Lax,Burton Wendroff,American
Peter Lax,James Sethian,American
Wolfgang R. Wasow,Gilbert Stengle,American
Sergiu Klainerman,Gustavo Ponce,Romanian American
Andrei Markov,Jacob Tamarkin,Russian
Andrei Markov,Abram Besicovitch,Russian
Andrei Markov,Nikolai Günther,Russian
Andrei Markov,Veniamin Kagan,Russian
Andrei Markov,V. I. Romanovsky,Russian
Andrei Markov,J. V. Uspensky,Russian
Andrei Markov,Georgy Voronoy,Russian
Andrei Markov,Jacob David Tamarkin,Russian
Andrei Markov,Abram Samoilovitch Besicovitch,Russian
Nelson Dunford,Shaul Foguel,
Nelson Dunford,Jacob T. Schwartz,
Nelson Dunford,Jacob Schwartz,
Derrick Lehmer,Tom Apostol,United States
Derrick Lehmer,Ronald Graham,United States
Derrick Lehmer,Harold Stark,United States
Derrick Lehmer,Peter J. Weinberger,United States
Derrick Lehmer,Tom M. Apostol,United States
Gene H. Golub,Richard Brent,American
Gene H. Golub,Richard P. Brent,American
Gene H. Golub,Michael Heath,American
Gene H. Golub,Dianne O'Leary,American
Gene H. Golub,Michael Overton,American
Gene H. Golub,Michael Saunders,American
Gene H. Golub,Margaret H. Wright,American
Gene H. Golub,Dianne P. O'Leary,American
Inderjit Dhillon,Joel Tropp,
Mark Kac,Daniel Stroock,
Mark Kac,Harry Kesten,
Mark Kac,William LeVeque,
Mark Kac,William Newcomb,
Mark Kac,Lonnie Cross,
Mark Kac,Daniel B. Ray,
Mark Kac,Murray Rosenblatt,
Mark Kac,William J. LeVeque,
C. Felix Klein,Ferdinand von Lindemann,
C. Felix Klein,Ludwig Bieberbach,
C. Felix Klein,Maxime Bôcher,
C. Felix Klein,Oskar Bolza,
C. Felix Klein,Max Brückner,
C. Felix Klein,Frank Nelson Cole,
C. Felix Klein,Friedrich Dingeldey,
C. Felix Klein,Henry B. Fine,
C. Felix Klein,Erwin Freundlich,
C. Felix Klein,Robert Fricke,
C. Felix Klein,Philipp Furtwängler,
C. Felix Klein,Axel Harnack,
C. Felix Klein,Mellen Haskell,
C. Felix Klein,Adolf Hurwitz,
C. Felix Klein,Edward Kasner,
C. Felix Klein,Alexander Ostrowski,
C. Felix Klein,Julio Rey Pastor,
C. Felix Klein,Hermann Rothe,
C. Felix Klein,Friedrich Schilling,
C. Felix Klein,Virgil Snyder,
C. Felix Klein,Edward Van Vleck,
C. Felix Klein,Walther von Dyck,
